"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5"
1,1,1,2.1684043449710089e-16,2.1684043449710089e-16,-5.421010862427522e-17,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,2,2.1684043449710089e-16,2.1684043449710089e-16,-5.421010862427522e-17,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,3,2.1684043449710089e-16,2.1684043449710089e-16,-5.421010862427522e-17,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,4,2.1684043449710089e-16,2.1684043449710089e-16,-5.421010862427522e-17,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,5,2.1684043449710089e-16,2.1684043449710089e-16,-5.421010862427522e-17,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,6,2.1684043449710089e-16,2.1684043449710089e-16,-5.421010862427522e-17,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,7,2.1684043449710089e-16,2.1684043449710089e-16,-5.421010862427522e-17,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,8,2.1684043449710089e-16,2.1684043449710089e-16,-5.421010862427522e-17,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,9,2.1684043449710089e-16,2.1684043449710089e-16,-5.421010862427522e-17,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,10,2.1684043449710089e-16,2.1684043449710089e-16,-5.421010862427522e-17,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,11,2.1684043449710089e-16,2.1684043449710089e-16,-5.421010862427522e-17,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,12,0,0,0,0,-0
1,1,13,0,0,0,0,-0
1,1,14,0,0,0,0,-0
1,1,15,0,0,0,0,-0
1,1,16,2.1684043449710089e-16,2.1684043449710089e-16,-5.421010862427522e-17,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,17,2.1684043449710089e-16,2.1684043449710089e-16,-5.421010862427522e-17,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,18,2.1684043449710089e-16,2.1684043449710089e-16,-5.421010862427522e-17,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,19,-2.1684043449710089e-16,0,-2.1684043449710089e-16,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,20,-8.673617379884035e-16,1.734723475976807e-15,-8.673617379884035e-16,-4.3368086899420177e-16,4.3368086899420177e-16
1,1,21,-2.1684043449710089e-16,0,-2.1684043449710089e-16,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,22,-2.1684043449710089e-16,0,-2.1684043449710089e-16,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,23,2.1684043449710089e-16,0,-5.421010862427522e-17,-1.0842021724855044e-16,1.0842021724855044e-16
1,1,24,2.1684043449710089e-16,2.1684043449710089e-16,0,0,0
