"scenario","stage","block","uid:1"
1,1,1,-20.00000000000001
1,1,2,-20.00000000000001
1,1,3,-20.00000000000001
1,1,4,-20.00000000000001
1,1,5,-20.00000000000001
1,1,6,-20.00000000000001
1,1,7,-20.00000000000001
1,1,8,-20.00000000000001
1,1,9,-20.00000000000001
1,1,10,-20.00000000000001
1,1,11,-20.00000000000001
1,1,12,0
1,1,13,0
1,1,14,0
1,1,15,0
1,1,16,-20.00000000000001
1,1,17,-20.00000000000001
1,1,18,-20.00000000000001
1,1,19,-22.56092285508291
1,1,20,-22.56092285508291
1,1,21,-22.56092285508291
1,1,22,-22.56092285508291
1,1,23,-22.56092285508291
1,1,24,-20.00000000000001
