"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,0,19.999999999999993,0,0
1,1,2,0,19.999999999999993,0,-3.469446951953614e-15
1,1,3,0,19.999999999999993,0,-3.469446951953614e-15
1,1,4,0,19.999999999999993,0,-3.469446951953614e-15
1,1,5,0,19.999999999999993,0,-3.469446951953614e-15
1,1,6,0,19.999999999999993,0,-3.469446951953614e-15
1,1,7,0,19.999999999999993,0,-3.469446951953614e-15
1,1,8,0,19.999999999999993,0,-3.469446951953614e-15
1,1,9,0,19.999999999999993,0,0
1,1,10,0,19.999999999999993,0,-3.469446951953614e-15
1,1,11,0,19.999999999999993,0,-3.469446951953614e-15
1,1,12,20,40,0,0
1,1,13,20,40,0,0
1,1,14,20,40,0,0
1,1,15,20,40,0,0
1,1,16,0,19.999999999999993,0,-19.774390771449173
1,1,17,0,19.999999999999993,0,-19.774390771449173
1,1,18,0,19.999999999999993,0,-19.774390771449173
1,1,19,0,0,0,-39.774390771449184
1,1,20,0,0,0,-168.36617159336694
1,1,21,0,0,0,-39.774390771449184
1,1,22,0,0,0,-39.774390771449184
1,1,23,0,14.271232876712313,0,-25.50315789473686
1,1,24,0,19.999999999999993,0,-19.774390771449173
