"scenario","stage","block","uid:1","uid:2","uid:3"
1,1,1,980,980,998.0500000000001
1,1,2,980,980,998.0500000000001
1,1,3,980,980,998.0500000000001
1,1,4,980,980,998.0500000000001
1,1,5,980,980,998.0500000000001
1,1,6,980,980,998.0500000000001
1,1,7,980,980,998.0500000000001
1,1,8,980,980,998.0500000000001
1,1,9,980,980,998.0500000000001
1,1,10,980,980,998.0500000000001
1,1,11,980,980,998.0500000000001
1,1,12,1000,1000,1000
1,1,13,1000,1000,1000
1,1,14,1000,1000,1000
1,1,15,1000,1000,1000
1,1,16,980,980,998.0500000000001
1,1,17,980,980,998.0500000000001
1,1,18,980,980,998.0500000000001
1,1,19,960.0000000000001,960.0000000000001,980.3612328767123
1,1,20,831.4082191780824,831.4082191780824,851.7694520547944
1,1,21,960.0000000000001,960.0000000000001,980.3612328767123
1,1,22,960.0000000000001,960.0000000000001,980.3612328767123
1,1,23,974.2712328767125,974.2712328767125,994.6324657534246
1,1,24,980,980,998.0500000000001
