"scenario","stage","block","uid:1","uid:2","uid:3"
1,1,1,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,2,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,3,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,4,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,5,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,6,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,7,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,8,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,9,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,10,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,11,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,12,0,0,0
1,1,13,0,0,0
1,1,14,0,0,0
1,1,15,0,0,0
1,1,16,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,17,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,18,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,19,40.00000000000001,40.00000000000001,19.63876712328768
1,1,20,168.5917808219178,168.59178082191784,148.2305479452055
1,1,21,40.00000000000001,40.00000000000001,19.63876712328768
1,1,22,40.00000000000001,40.00000000000001,19.63876712328768
1,1,23,25.7287671232877,25.7287671232877,5.367534246575372
1,1,24,20.000000000000004,20.000000000000004,1.9500000000000004
