"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5","uid:6","uid:7","uid:8","uid:9","uid:10","uid:11"
1,1,1,0,1.7961808489541227,0,0,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0,0,0,0,0,0
1,1,3,0,0,0,0,0,0,0,0,0,0,0
1,1,4,0,0,0,0,0,0,0,0,0,0,0
1,1,5,0,0,0,0,0,0,0,0,0,0,0
1,1,6,0,4.922009376905869,0,0,0,0,0,0,0,0,0
1,1,7,0,7.074018555706623,0,0,0,0,0,0,0,0,4.502953348063297
1,1,8,0,7.935892392474614,0,0,0,5.813419151613267,1.9505070629403995,0,0,0,13.917479601838796
1,1,9,0,0,0,0,0,10.057034089298881,5.118589564176029,0,0,0,17.84016977065977
1,1,10,0,0,0,0,0,10.65078784013184,6.368336845991738,0,0,0,19.538934816919458
1,1,11,0,0,0,0,0,10.218037423836734,7.203441226949739,0,0,0,20.570968696214486
1,1,12,0,0,0,0,0,9.465570736931568,7.431903707206429,0,0,0,20.931765350696445
1,1,13,0,0,0,0,0,9.298111478660623,7.766699054647042,0,0,0,21.385084424469753
1,1,14,0,0,0,0,0,8.880563308297361,7.325570840022495,0,0,0,20.839242931405092
1,1,15,0,0,0,0,0,8.041671645575342,6.415877595227522,0,0,0,19.611029629846687
1,1,16,0,0,0,0,0,7.889414633236257,5.474440347085599,0,0,0,18.486473331260314
1,1,17,0,0,0,0,0,11.235795268766061,6.474669713175672,0,0,0,19.631457236210807
1,1,18,0,6.465972113190517,0,0,0,16.167889028361913,8.399478773028147,0,0,0,21.611665615776047
1,1,19,0,45.49972523920377,0,0,0,23.734338344618642,13.007450964872854,0,0,0,27.123903941177666
1,1,20,0,65.7896932675236,0,0,0,29.565803062716057,16.636866807028703,0,0,0,31.21673164362361
1,1,21,0,74.39730538993702,1.3033839257621054,0,0,33.13592266474478,18.275187507098472,0,0,2.286855224405887,33
1,1,22,0,77.82329835967352,5.054726224190659,0,0,35.23592266474478,19.383224373437663,0,0.6702600886709753,3.8245124225295264,34
1,1,23,0,61.826764294726004,0,0,0,25.568062071374293,14.271945713540898,0,0,0,28.529559229290875
1,1,24,0,51.981927393675065,0,0,0,19.900656475038794,10.693259599097415,0,0,0,24.281203470710267
